name,address,postcode,Phone,d.o.b,email,gender,ethnicity
J.Adams,63 Warner Close,CT14 9NS,070 8215 8945,02/12/1940,J.Adams@trashymail.com,m ,White
V.Bailey,10 Spilman Street,BT23 8SQ,070 0605 3789,06/11/1965,V.Bailey@pookmail.com,m ,Indian
B.Slater,62 Hindhead Road,NN17 5FE,077 6180 0215,02/01/1943,B.Slater@trashymail.com,f ,Pakistani & Other South Asian
C.Aiello,25 Sloe Lane,BS21 5ES ,070 8793 9237,11/06/1950,C.Aiello@spambob.com,f ,Chinese
V.Cloutier,51 Thirsk Road,YO12 7QP,079 7992 8219,06/04/1968,V.Cloutier@trashymail.com,f ,Other
Z.Joseph,57 Grenoble Road,PE37 8HB,070 0512 6740,17/05/1973,Z.Joseph@mailinator.com,m ,White
K.Combs,7 Gloucester Road,SA10 9BT,077 4772 7902,07/04/1979,K.Combs@dodgit.com,m ,Indian
R.Stewart,55 Bridge Street,SL6 3JX,070 4186 5655,16/04/1958,likeb@metro.com,f ,Pakistani & Other South Asian
Huls,21 Station Rd,DN39 6TQ,078 1084 6367,13/04/1981,Huls@trashymail.com,m ,Chinese
D.Cline,45 Lincoln Green Lane,SY25 6JL,077 1842 5980,17/12/1949,D.Cline@mailinator.com,m ,Other
A.Davis,93 Holburn Lane,TR1 1GB,070 6926 6733,05/10/1959,A.Davis@spambob.com,m ,White
H.Gordon,54 Main Rd,GL5 1TA,078 3747 3555,16/08/1984,H.Gordon@pookmail.com,f ,White
K.Ruiz,55 Guildford Rd,DE6 5JU,070 0024 3218,19/04/1957,K.Ruiz@spambob.com,f ,White
C.Bernardino,45 Henley Road,EH54 5DR,077 6043 2846,26/02/1967,C.Bernardino@trashymail.com,m ,White
C.Sanford,69 Fosse Way,GL3 4EN,079 3044 2054,26/02/1947,C.Sanford@trashymail.com,m ,White
W.Murray,33 Jedburgh Road,BH1 1PF,070 5999 0453,07/09/1940,W.Murray@trashymail.com,m ,White
