Student_Id,Class_Id,Student_FirstName,Student_LastName,Student_DoB,Student_Email
PAC_STU_0,PAC_CLASS_8,Carl,Ripka,2001/04/20,Carl.Ripka@partrdigeacademy.org.uk
PAC_STU_1,PAC_CLASS_4,Carl,Yang,2001/07/16,Carl.Yang@partrdigeacademy.org.uk
PAC_STU_2,PAC_CLASS_9,Larry,Ventotla,2001/06/26,Larry.Ventotla@partrdigeacademy.org.uk
PAC_STU_3,PAC_CLASS_6,Dan,Vogal,2001/10/19,Dan.Vogal@partrdigeacademy.org.uk
PAC_STU_4,PAC_CLASS_2,Fred,Vogal,2001/11/07,Fred.Vogal@partrdigeacademy.org.uk
PAC_STU_5,PAC_CLASS_9,Paul,Woo,2001/12/16,Paul.Woo@partrdigeacademy.org.uk
PAC_STU_6,PAC_CLASS_8,Joe,Johnsen,2001/04/24,Joe.Johnsen@partrdigeacademy.org.uk
PAC_STU_7,PAC_CLASS_2,Dan,Baxster,2001/07/19,Dan.Baxster@partrdigeacademy.org.uk
PAC_STU_8,PAC_CLASS_9,Roger,Davidson,2001/09/03,Roger.Davidson@partrdigeacademy.org.uk
PAC_STU_9,PAC_CLASS_9,Edward,Ortiz,2001/06/26,Edward.Ortiz@partrdigeacademy.org.uk
PAC_STU_10,PAC_CLASS_5,Fred,Mccord,2001/06/19,Fred.Mccord@partrdigeacademy.org.uk
PAC_STU_11,PAC_CLASS_7,Joe,Norquist,2001/04/15,Joe.Norquist@partrdigeacademy.org.uk
PAC_STU_12,PAC_CLASS_6,George,Cast,2001/08/02,George.Cast@partrdigeacademy.org.uk
PAC_STU_13,PAC_CLASS_5,Hank,Fletcher,2001/09/02,Hank.Fletcher@partrdigeacademy.org.uk
PAC_STU_14,PAC_CLASS_4,Fred,Vader,2001/09/18,Fred.Vader@partrdigeacademy.org.uk
PAC_STU_15,PAC_CLASS_6,Larry,Napier,2001/02/21,Larry.Napier@partrdigeacademy.org.uk
PAC_STU_16,PAC_CLASS_2,Alex,Lawless,2001/11/26,Alex.Lawless@partrdigeacademy.org.uk
PAC_STU_17,PAC_CLASS_7,Roger,Ingram,2001/09/02,Roger.Ingram@partrdigeacademy.org.uk
PAC_STU_18,PAC_CLASS_2,Matthew,Zeaser,2001/11/21,Matthew.Zeaser@partrdigeacademy.org.uk
PAC_STU_19,PAC_CLASS_5,Ike,Ferro,2001/10/24,Ike.Ferro@partrdigeacademy.org.uk
PAC_STU_20,PAC_CLASS_2,Dan,Schiebel,2001/04/01,Dan.Schiebel@partrdigeacademy.org.uk
PAC_STU_21,PAC_CLASS_2,Aaron,Napier,2001/01/11,Aaron.Napier@partrdigeacademy.org.uk
PAC_STU_22,PAC_CLASS_7,Paul,Darnell,2001/02/17,Paul.Darnell@partrdigeacademy.org.uk
PAC_STU_23,PAC_CLASS_5,Roger,Vail,2001/05/07,Roger.Vail@partrdigeacademy.org.uk
PAC_STU_24,PAC_CLASS_8,Larry,Hydinger,2001/05/16,Larry.Hydinger@partrdigeacademy.org.uk
PAC_STU_25,PAC_CLASS_2,Alex,Ripka,2001/06/21,Alex.Ripka@partrdigeacademy.org.uk
PAC_STU_26,PAC_CLASS_4,Paul,Ostrander,2001/09/16,Paul.Ostrander@partrdigeacademy.org.uk
PAC_STU_27,PAC_CLASS_2,Carl,Schutz,2001/05/16,Carl.Schutz@partrdigeacademy.org.uk
PAC_STU_28,PAC_CLASS_7,Tim,Bongard,2001/10/20,Tim.Bongard@partrdigeacademy.org.uk
PAC_STU_29,PAC_CLASS_7,Otto,Darnell,2001/09/11,Otto.Darnell@partrdigeacademy.org.uk
PAC_STU_30,PAC_CLASS_3,Larry,Davidson,2001/09/24,Larry.Davidson@partrdigeacademy.org.uk
PAC_STU_31,PAC_CLASS_2,David,Solberg,2001/02/11,David.Solberg@partrdigeacademy.org.uk
PAC_STU_32,PAC_CLASS_4,Alex,Solberg,2001/05/20,Alex.Solberg@partrdigeacademy.org.uk
PAC_STU_33,PAC_CLASS_3,George,Ferry,2001/04/27,George.Ferry@partrdigeacademy.org.uk
PAC_STU_34,PAC_CLASS_7,Matthew,Ory,2001/11/15,Matthew.Ory@partrdigeacademy.org.uk
PAC_STU_35,PAC_CLASS_5,Steve,Reamer,2001/08/10,Steve.Reamer@partrdigeacademy.org.uk
PAC_STU_36,PAC_CLASS_2,Adam,Lawicki,2001/11/11,Adam.Lawicki@partrdigeacademy.org.uk
PAC_STU_37,PAC_CLASS_4,Larry,Martin,2001/12/02,Larry.Martin@partrdigeacademy.org.uk
PAC_STU_38,PAC_CLASS_5,Roger,Celedon,2001/02/27,Roger.Celedon@partrdigeacademy.org.uk
PAC_STU_39,PAC_CLASS_7,Peter,Jagtap,2001/01/05,Peter.Jagtap@partrdigeacademy.org.uk
PAC_STU_40,PAC_CLASS_3,Hank,Valente,2001/05/12,Hank.Valente@partrdigeacademy.org.uk
PAC_STU_41,PAC_CLASS_5,Carl,Zeller,2001/12/19,Carl.Zeller@partrdigeacademy.org.uk
PAC_STU_42,PAC_CLASS_3,Adam,LePage,2001/04/06,Adam.LePage@partrdigeacademy.org.uk
PAC_STU_43,PAC_CLASS_2,Alex,Ortiz,2001/10/03,Alex.Ortiz@partrdigeacademy.org.uk
PAC_STU_44,PAC_CLASS_6,Roger,Vail,2001/10/13,Roger.Vail@partrdigeacademy.org.uk
PAC_STU_45,PAC_CLASS_2,Mark,Hylan,2001/03/12,Mark.Hylan@partrdigeacademy.org.uk
PAC_STU_46,PAC_CLASS_5,Ben,LePage,2001/04/06,Ben.LePage@partrdigeacademy.org.uk
PAC_STU_47,PAC_CLASS_9,Fred,Quinn,2001/02/22,Fred.Quinn@partrdigeacademy.org.uk
PAC_STU_48,PAC_CLASS_8,Roger,Keller,2001/09/20,Roger.Keller@partrdigeacademy.org.uk
PAC_STU_49,PAC_CLASS_5,Frank,Ingram,2001/11/02,Frank.Ingram@partrdigeacademy.org.uk
PAC_STU_50,PAC_CLASS_6,Nathan,Fietzer,2001/07/11,Nathan.Fietzer@partrdigeacademy.org.uk
PAC_STU_51,PAC_CLASS_6,Carl,Quinn,2001/08/25,Carl.Quinn@partrdigeacademy.org.uk
PAC_STU_52,PAC_CLASS_8,Alex,Zeller,2001/11/26,Alex.Zeller@partrdigeacademy.org.uk
PAC_STU_53,PAC_CLASS_3,Matthew,Schutz,2001/04/09,Matthew.Schutz@partrdigeacademy.org.uk
PAC_STU_54,PAC_CLASS_4,Larry,Jagtap,2001/04/03,Larry.Jagtap@partrdigeacademy.org.uk
PAC_STU_55,PAC_CLASS_6,Alex,Deitz,2001/12/05,Alex.Deitz@partrdigeacademy.org.uk
PAC_STU_56,PAC_CLASS_6,Ike,Rice,2001/09/24,Ike.Rice@partrdigeacademy.org.uk
PAC_STU_57,PAC_CLASS_9,Paul,Bongard,2001/05/19,Paul.Bongard@partrdigeacademy.org.uk
PAC_STU_58,PAC_CLASS_7,Mark,Keller,2001/04/06,Mark.Keller@partrdigeacademy.org.uk
PAC_STU_59,PAC_CLASS_9,Edward,Casal,2001/03/07,Edward.Casal@partrdigeacademy.org.uk
PAC_STU_60,PAC_CLASS_3,Adam,Dinkins,2001/07/13,Adam.Dinkins@partrdigeacademy.org.uk
PAC_STU_61,PAC_CLASS_7,Hank,Leisinger,2001/09/06,Hank.Leisinger@partrdigeacademy.org.uk
PAC_STU_62,PAC_CLASS_6,Fred,Yocum,2001/06/05,Fred.Yocum@partrdigeacademy.org.uk
PAC_STU_63,PAC_CLASS_6,Aaron,Ashwoon,2001/01/09,Aaron.Ashwoon@partrdigeacademy.org.uk
PAC_STU_64,PAC_CLASS_9,Paul,DeLorenzo,2001/03/01,Paul.DeLorenzo@partrdigeacademy.org.uk
PAC_STU_65,PAC_CLASS_7,Aaron,Olson,2001/04/23,Aaron.Olson@partrdigeacademy.org.uk
PAC_STU_66,PAC_CLASS_6,Jack,Christensen,2001/09/21,Jack.Christensen@partrdigeacademy.org.uk
PAC_STU_67,PAC_CLASS_3,Adam,Van Zandt,2001/03/05,Adam.Van Zandt@partrdigeacademy.org.uk
PAC_STU_68,PAC_CLASS_7,Roger,Weiss,2001/11/05,Roger.Weiss@partrdigeacademy.org.uk
PAC_STU_69,PAC_CLASS_7,John,Bauer,2001/08/10,John.Bauer@partrdigeacademy.org.uk
PAC_STU_70,PAC_CLASS_7,Joe,Irwin,2001/11/19,Joe.Irwin@partrdigeacademy.org.uk
PAC_STU_71,PAC_CLASS_8,Joe,Sweeney,2001/11/20,Joe.Sweeney@partrdigeacademy.org.uk
PAC_STU_72,PAC_CLASS_9,Adam,Lawicki,2001/12/17,Adam.Lawicki@partrdigeacademy.org.uk
PAC_STU_73,PAC_CLASS_2,Steve,Maki,2001/07/14,Steve.Maki@partrdigeacademy.org.uk
